Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,AP_NETPAL_BUTIAS - 5.8,192.168.20.194,UbiquitiNe:68:24:19,,Butias,,
up,MK POP Butias,177.72.104.230,Routerboar:04:E1:0C,,Butias,,
up,Patch Panel Hotel TVR,192.168.20.221,MicrochipT:EB:54:3C,,Hotel TVR,,
up,NETPAL_HTVR_SUL,192.168.20.212,UbiquitiNe:54:CA:60,,Hotel TVR,,
up,NETPAL_HTVR_OESTE,192.168.20.211,UbiquitiNe:F8:DA:BE,,Hotel TVR,,
up,NETPAL_HTVR_NORTE,192.168.20.210,UbiquitiNe:F6:F9:C0,,Hotel TVR,,
up,MK POP Hotel TVR,177.72.104.229,,,Hotel TVR,,
up,Pantano => Valim,192.168.30.74,UbiquitiNe:0C:45:4B,,Valim,,
up,MK POP Valim,177.72.104.235,82:09:3E:7B:D7:B5,,Valim,,
up,Valim => Pantano,192.168.30.75,UbiquitiNe:90:2F:5A,,Valim,,
up,Patch Panel Olhos Dagua,192.168.21.44,MicrochipT:A5:DE:0E,,Olhos D'agua,,
up,AP_NETPAL_OLHOSDAGUA,192.168.21.34,UbiquitiNe:E4:7B:B2,,Olhos D'agua,,
up,MK POP Olhos D'Água,177.72.104.221,66:39:B9:7C:DA:AB,,Olhos D'agua,,
up,Olhos D'Água => Tapera,192.168.5.21,UbiquitiNe:26:2D:B1,,Olhos D'agua,,
up,Storage BCP,177.72.104.131,TP-LINKTEC:10:8A:86,,DC Bacupari,,
up,AP_NETPAL_GRANJAPANTANO,192.168.20.165,UbiquitiNe:08:7A:55,,Pantano,,
up,NETPAL_PANTANO_LTCORREA,192.168.20.164,UbiquitiNe:26:EE:D9,,Pantano,,
up,Pantano => Valim,192.168.30.74,UbiquitiNe:0C:45:4B,,Pantano,,
up,NETPAL_PANTANO_TEIXEIRAS,192.168.20.162,UbiquitiNe:E8:15:BE,,Pantano,,
up,NETPAL_PTP_PANTANO02,192.168.20.163,UbiquitiNe:7C:3A:7E,,Pantano,,
up,MK POP Pantano,177.72.104.234,22:31:DB:CB:6E:D1,,Pantano,,
up,CEEE Boa Esperanca,192.168.22.94,ZioncomEle:54:6B:07,,CEEE,,"Titular: Netpal, 60566205"
up,AP_NETPAL_CAMPODAHONRA - 5.8,192.168.20.114,UbiquitiNe:92:78:72,,Campo honra,,
up,AP_NETPAL_CAMPODAHONRA - 900,192.168.20.116,UbiquitiNe:66:10:80,,Campo honra,,
up,MK POP Campo da Honra,177.72.104.220,32:BC:CF:2D:96:CE,,Campo honra,,
up,SW.Campo.da.Honra,192.168.20.117,"Routerboar:D3:6E:FA, Routerboar:D3:6E:FD",,Campo honra,,
up,NETPAL_PANTANO_101,192.168.20.106,UbiquitiNe:68:24:E0,,Pantano,,
acknowledged,WIFI DC,192.168.83.26,intelbras:04:B0:2F,,Intranet,,
unknown,177.72.104.227,177.72.104.227,82:09:3E:7B:D7:B5,,,,
up,NETPAL_BOAESPERANCA_040,192.168.22.73,UbiquitiNe:32:B1:D1,,Boa Esperança,,
up,NETPAL_BOAESPERANCA_FAZCRIA,192.168.22.74,UbiquitiNe:E2:AC:00,,Boa Esperança,,
up,SW Bacupari,192.168.17.22,64:D1:54:31:AC:D0,,Bacupari,,
up,Patch Panel 1 Bacupari,192.168.22.140,MicrochipT:5A:17:66,,Bacupari,,
up,CEEE BCP Shelter,192.168.22.142,ZioncomEle:81:96:C2,,CEEE,,
up,MK POP Bacupari,177.72.104.204,86:1D:2D:DA:EB:03,,Bacupari,,
up,Patch Panel 2 Bacupari,192.168.22.141,MicrochipT:5A:14:7E,,Bacupari,,
up,MK POP Taruma,177.72.104.185,86:1D:2D:DA:EB:03,,Taruma,,980271051 - Vera
up,NETPAL_TARUMA_NORTE,192.168.24.18,"UbiquitiNe:48:A8:14, FE:56:2E:00:5D:56",,Taruma,,
up,Patch Panel Taruma,192.168.24.29,"1E:90:F5:62:FA:08, MicrochipT:A5:FC:F9",,Taruma,,POE1 - Enlace Tio Joca  POE2 - Enlace Olhos DAgua  POE3 - Enlace Campo da Honra  POE4 - Enlace Hotel TVR  POE5 - Enlace Melancia  POE6 - Enlace Centro TVR  POE7 - Enlace Lagoa dos Patos  POE8 - LIVRE  POE9 - LIVRE  POE10 - LIVRE
up,WDS Fazenda Sanga Funda,192.168.116.42,UbiquitiNe:32:D9:1B,,WDS,,
up,WIFI DC,192.168.83.25,D8:77:8B:13:E3:49,,Intranet,,
up,NETPAL_PANTANO_PONTAL,192.168.20.107,UbiquitiNe:DE:C1:E2,,Pantano,,
up,NETPAL_BOAESPERANCA_FAZCOQUEIRO,192.168.22.75,UbiquitiNe:E8:1C:93,,Boa Esperança,,PORTA 1 Patch Panel 10P
up,NETPAL_BOAESPERANCA_FAZTOURO,192.168.22.76,UbiquitiNe:9A:C3:01,,Boa Esperança,,Conectado na porta 3 do patch panel 1
up,SW Pantano,192.168.17.10,B8:69:F4:4E:14:03,,Pantano,,
up,NETPAL_BACUPARI_PARQUEEOLICO,192.168.22.135,UbiquitiNe:44:49:7F,,Bacupari,,
up,NETPAL_RANCHOVELHO_FAZBOEIRAS,192.168.21.246,UbiquitiNe:4C:06:9B,,Rancho Velho,,
up,Link Adylnet,187.0.0.1,JuniperNet:DB:6F:F1,,DC Capivari do Sul,,
up,AP_SANGAFUNDA,192.168.115.94,UbiquitiNe:88:47:ED,,WDS,,
up,NETPAL_BACUPARI_ESQUADRO,192.168.22.137,UbiquitiNe:94:1D:E1,,Bacupari,,
up,PM CPV (UBS Jardim Formoso),177.93.247.44,XEROXCORPO:00:06:00,,PM CPV,,
up,Relogio Ponto,192.168.83.2,ControliD:80:C0:F6,,Intranet,,
up,GW Servidores,192.168.116.34,,,DC Capivari do Sul,,
up,DP,127.0.0.1,XEROXCORPO:00:06:00,,Consepro,,
up,TRILHOS,127.0.0.1,XEROXCORPO:00:06:00,,Consepro,,
up,RB Brigada Militar PWW,177.72.105.87,,,Consepro,,
up,DVR NVD 3108,192.168.230.5,,,Consepro,,
up,RB 3011,177.72.105.85,,,Consepro,,
up,DVR NVD 3108,192.168.20.66,,,Consepro,,
